,Sample,n.cells,has.HA,has.NA,has.M,has.NS,has.all,pred.has.all
1,6hr,7,1,1,1,1,1,1
2,8hr,41,0.829268292682927,0.878048780487805,0.902439024390244,0.878048780487805,0.585365853658537,0.576965992523784
3,8hr-2,43,0.837209302325581,0.883720930232558,0.953488372093023,0.953488372093023,0.651162790697674,0.67263581588984
4,10hr,82,0.878048780487805,0.841463414634146,0.926829268292683,0.914634146341463,0.707317073170732,0.626326854960487
